Afrikaans 64 47
Akan 8 6
Amharic 1 0
Armenian 15 9
Azerbaijani 19 11
Belarusian 11 14
Bengali 48 18
Bulgarian 143 121
Burmese 2 0
Catalan 198 107
Chinese 1440 15
Croatian 206 137
Czech 400 272
Danish 231 140
Dutch 819 543
English 15981 9539
Esperanto 6 14
Estonian 68 36
Finnish 188 117
Frensh 2480 1221
Georgian 14 6
German 2204 1518
Greek_modern 221 130
Gujarati 4 2
Hebrew 47 17
Hindi 60 49
Hungarian 252 144
Italian 1119 669
Japanese 1545 21
Kannada 5 2
Khmer 3 0
Korean 201 47
Latvian 52 29
Lithuanian 94 41
Macedonian 14 12
Malayalam 4 6
Marathi 8 7
Nepali 16 10
Norwegian_Bokmål 170 119
Odia 9 0
Polish 686 475
Portuguese 611 286
Romanian 289 198
Russian 2184 1127
Serbian 22 17
Shona 6 3
Sinhala 1 0
Slovak 169 124
Slovenian 69 56
Spanish 2058 1164
Swedish 315 201
Tagalog 11 14
Tamil 14 10
Telugu 7 4
Thai 183 5
Turkish 388 218
Turkmen 5 3
Ukrainian 143 64
Uzbek 12 9
Zulu 3 5
