lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 5 4 4 450.4 -3934.23 729.25
th 1 1 1 708 -3115.73 1024
tk 1 0 1 676 0 1016
ru 27 29 27 438.963 -47313.1 596.111
ar 3 4 4 380 -19324.3 817.75
vi 5 5 5 471.8 -14743.5 1237
tr 2 3 3 380.5 -1053.42 848
cs 3 1 0 590.667 -0.024611 0
el 2 2 2 690.5 -8193.49 1024
en 465 701 411 919.71 -792.095 835.937
cy 1 0 0 806 0 0
id 6 5 6 444.833 -1755.29 887
zh 42 44 33 558.905 -15735.4 1937.64
es 5 14 5 689.6 -543.494 693
gl 2 1 1 306.5 -14505.7 619
it 1 4 3 358 -562.318 854
ko 5 7 7 448.8 -23512.8 3757.43
mn 1 1 1 364 -18839 1038
ky 0 1 0 0 -9836.13 0
ms 0 3 0 0 -197.94 0
mt 0 4 0 0 -7.57558 0
sk 1 1 1 563 -717.585 971
bg 2 3 4 547.5 -14622.9 602.75
da 171 0 0 684.889 0 0
sl 1 3 2 180 -3692.82 693
qu 0 1 0 0 -484.932 0
de 16 18 7 596.062 -4553.41 1126.14
sr 2 0 0 413 0 0
uk 0 1 1 0 -1376.72 915
fa 3 4 3 548 -1665.7 810.667
un 28 0 408 0 0 0
sv 10 1 1 620.4 -4165.5 615
br 0 60 0 0 -4.93271 0
fi 0 1 0 0 1.08851 0
ja 20 24 23 489.6 -25945.1 3154.26
hi 0 1 1 0 -5281.74 600
fr 36 26 9 663.194 -1409.23 769.111
la 6 1 1 704.167 -456.661 1510
lb 3 0 0 686.333 0 0
zh-Hant 0 0 8 0 0 1931.12
hu 7 6 6 372.429 -19106.2 1155.17
nl 0 2 1 0 -98.6721 498
lv 1 1 1 236 -5516.39 1304
no 79 0 0 684.633 0 0
pl 3 4 2 554 -631.657 1593
af 1 2 1 223 -9165.07 830
ca 30 3 3 675.567 -1347.16 487.667
