lang en en en 542 -230.85836172103882 772.0
pt 21 23 22 436.381 -3559.51 896.636
tg 2 0 0 575 0 0
ro 4 6 7 386 -2083.68 633.571
th 3 3 3 591 -6086.5 1024
am 0 1 0 0 -177.583 0
an 0 1 0 0 -290.55 0
ru 135 147 142 355.007 -47407.2 625
ar 11 13 13 367.455 -22576.7 681.692
rw 0 2 0 0 -20743.4 0
vi 21 24 24 400.619 -18244.9 1312.04
tr 6 8 9 402.5 -2110.52 852.778
gd 2 0 0 1090.5 0 0
az 3 3 3 363.667 -2288.26 1390.33
cs 11 7 7 768.182 -1124.78 1222.86
el 6 6 6 268.833 -49537.4 1024
en 2293 3509 2035 929.672 -576.72 830.369
eo 0 2 1 0 -65.3558 378
cy 4 2 0 851 -326.431 0
id 19 25 25 324.579 -7884.55 887.56
zh 171 207 152 523.883 -15255.5 1875.99
es 61 131 52 473.213 -2719.85 531.365
gl 6 1 2 466.5 -267.388 330
is 2 0 0 688.5 0 0
it 16 15 12 499 -2790.61 537.833
ko 46 38 38 570.283 -27809.4 3689.68
iw 0 0 1 0 0 984
mk 1 0 0 615 0 0
ku 1 0 0 669 0 0
mn 0 1 0 0 -26469 0
ky 4 2 1 617.25 -8396.28 818
ms 0 3 0 0 -3024.8 0
mt 0 21 0 0 -7.16455 0
si 1 0 0 1130 0 0
bg 3 3 4 325.667 -27955 663.5
sk 3 3 1 470.667 -1386.13 1505
sl 0 2 1 0 -37.0738 846
da 804 4 4 684.877 -1326.05 844.25
qu 0 1 0 0 -975.063 0
de 78 85 27 634.872 -4375.67 1004.52
sq 1 0 0 734 0 0
bn 2 2 2 416.5 -9747.58 499.5
sr 2 0 1 538 0 444
uk 4 5 4 434 -21532.6 783.5
fa 14 15 15 528.5 -11708.2 899.533
un 135 0 2053 0 0 0
sv 25 6 6 561.16 -1019.04 773
br 2 280 0 572.5 -5.05407 0
bs 0 1 3 0 -3007.62 437.667
ur 3 4 3 279.667 -18794.2 1064.67
he 1 4 0 299 -2456.57 0
uz 2 0 1 866 0 953
ja 96 111 112 476.104 -31662.8 3198.8
hi 1 1 1 355 -5098.56 652
fr 205 137 53 653.19 -5825.38 778.962
la 63 14 11 646.873 -23287.8 1184.27
lb 17 2 0 674.176 -3034.65 0
hr 7 7 4 262.429 -4795.19 535.25
zh-Hant 0 0 47 0 0 1933.72
hu 24 21 21 372.458 -7554.96 1392.1
jv 0 2 0 0 -97.4211 0
pa 2 0 0 1162 0 0
nl 9 7 6 612 -4107.52 869.167
lt 3 6 2 426.333 -487.595 1212.5
nn 0 1 0 0 -32.5564 0
lv 5 6 6 438.4 -2460.38 1246
no 433 5 1 681.85 -285.997 696
pl 33 40 33 416.727 -4396.4 1244.45
af 2 1 1 310.5 -8614.28 1054
ca 156 8 7 680.513 -1474.29 586.286
