lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 12 14 14 382.583 -4744.44 923.643
tg 2 0 0 344 0 0
ro 2 1 1 392 -13399.6 700
th 2 2 3 726.5 -1221.33 1024
am 0 2 1 0 -1668.56 333
ru 44 52 48 343.205 -50022.9 602.146
ar 4 6 4 350 -10408.5 816.25
vi 13 15 15 342.846 -29504.3 1344.53
tr 2 5 4 680.5 -1036.5 861.5
az 1 1 1 338 -1561.79 1091
el 3 3 3 333 -16354.6 1024
cs 3 1 1 770 -1189.2 1184
en 930 1415 826 928.113 -897.525 831.515
eo 1 0 0 707 0 0
id 2 3 3 322.5 -1821.45 665
cy 0 1 0 0 -17.9368 0
zh 51 68 54 514.745 -11594.9 1937.52
gl 4 1 0 533.5 -267.388 0
es 17 50 18 485.765 -2101.89 524.333
ka 1 1 1 423 -975.801 1024
it 9 7 6 547.111 -2082.21 574.333
mg 1 0 0 1190 0 0
ko 26 19 19 601.154 -33161.2 3700.95
iw 0 0 1 0 0 795
mk 1 0 0 615 0 0
ms 0 1 0 0 -24.2109 0
mt 0 12 0 0 -7.57558 0
se 0 1 0 0 -243.042 0
sk 1 0 0 505 0 0
bg 1 3 3 181 -44367.2 619.333
da 324 2 1 685.685 -607.884 812
sl 1 2 2 159 -6619.18 511.5
qu 0 1 0 0 -3755.29 0
de 36 38 13 581.694 -2195.42 998.923
bn 2 2 2 308 -12381.8 587.5
sr 3 0 1 611.333 0 444
uk 2 3 2 282.5 -42703.7 656.5
fa 7 7 7 467.143 -14234.9 884.143
un 47 0 816 0 0 0
sv 10 3 3 538.7 -3196.81 844.667
br 1 98 0 642 -4.73926 0
bs 0 1 3 0 -3007.62 437.667
ur 1 1 1 217 -43359.2 1120
he 1 1 0 239 -14242.6 0
uz 0 0 2 0 0 935
ja 42 47 46 463.452 -24854 3212.35
hi 1 1 1 355 -5098.56 652
fr 63 54 22 637.524 -3006.97 831.273
la 24 7 4 646.792 -1474.82 1074.75
lb 5 0 0 664.2 0 0
hr 6 5 2 289.167 -4967.23 552
zh-Hant 0 0 10 0 0 1943.9
hu 12 10 10 339.417 -7984.04 1289.4
pa 4 0 0 1162 0 0
nl 3 1 1 700 -1951.03 777
lt 2 4 2 277.5 -955.695 1134.5
lv 1 1 1 309 -2037.69 1324
no 177 1 0 683.062 -44.9244 0
pl 15 19 14 350.333 -7511.27 1248.07
ab 0 0 1 0 0 477
af 2 1 1 310.5 -8614.28 1054
ca 73 4 4 669.534 -3175.34 643.25
