lang detectfast langid cld2 pre-detectfast pre-langid pre-cld2
pt 380 417 400 439.329 -3669.81 871.495
tg 35 0 0 613.857 0 0
ro 114 124 125 360.123 -3959.78 682.184
th 65 97 106 494.446 -6023.71 1024
am 0 18 9 0 -1668.56 333
an 0 15 0 0 -10521.3 0
ru 2025 2266 2150 354.25 -45979.1 621.876
ar 176 240 200 390.705 -14020.6 745.81
rw 0 42 0 0 -17653.4 0
vi 347 366 366 400.476 -22553.8 1333.48
tr 124 135 135 541.702 -1712.17 922.659
gd 17 0 0 1095.76 0 0
az 51 51 51 328.451 -2982.26 1322.16
el 98 98 98 405.286 -29084.4 1024
cs 175 97 97 686.691 -1777.68 1367.59
en 38845 59003 34263 930.072 -709.468 829.841
cv 8 0 0 585 0 0
detectfast 83 0 0 0 0 0
eo 17 26 17 524.882 -828.555 382.706
id 300 337 344 322.527 -8607.47 942.419
cy 81 57 8 746.63 -467.797 1261
zh 2820 3464 2549 539.254 -13786 1906.73
gl 139 9 32 489.712 -267.388 367.625
es 930 2170 818 451.068 -3248.35 506.935
eu 7 0 0 1168 0 0
ka 9 9 9 423 -975.801 1024
gv 0 0 8 0 0 512
kk 0 22 0 0 -189.111 0
is 25 8 8 626.2 -284.653 685
it 319 341 281 457.16 -6072.02 621.153
mg 9 0 0 1190 0 0
ko 721 578 570 563.49 -29467.5 3698.59
iw 0 0 25 0 0 902.8
mk 9 0 0 615 0 0
ku 9 0 8 669 0 407
mn 0 9 0 0 -26469 0
ky 35 66 9 610.714 -7678.98 818
ms 0 48 8 0 -2114.16 996
mt 8 483 0 472 -19.2334 0
se 0 9 0 0 -243.042 0
si 9 0 0 1130 0 0
sk 89 50 32 468.64 -8274.09 1485
bg 113 147 186 403.85 -25132.6 742.484
da 13571 59 56 685.111 -1039.86 898.786
sl 16 58 34 199.25 -2519.7 678.382
qu 0 18 0 0 -2365.18 0
de 1254 1445 479 628.301 -3433.41 1041.91
sq 9 0 0 734 0 0
cld2 0 0 83 0 0 0
bn 44 44 44 349.114 -11201 543.045
sr 89 8 17 561.719 -2761.5 644.471
uk 77 95 69 379.584 -22384.8 759.58
fa 249 258 250 496.313 -18064 871.512
un 2282 0 34736 0 0 0
sv 470 149 134 554.913 -2018.28 756.694
br 41 4797 0 717.683 -4.96405 0
bs 0 16 27 0 -1792.85 437.667
ur 35 44 35 279.971 -17259.7 1019.03
fi 15 31 23 228.933 -3529.1 1011.26
he 25 59 0 293.36 -4073.6 0
fo 8 0 0 667 0 0
uz 18 0 18 866 0 935
ja 1581 1819 1843 480.823 -27563.3 3187.99
hi 17 9 9 737.588 -5098.56 652
fr 3085 2147 796 651.729 -5132.76 765.079
la 1089 213 127 652.702 -20910 1212.11
lb 234 18 0 639.902 -3034.65 0
fy 15 0 0 736.867 0 0
hr 94 94 67 309.745 -3609.05 499.09
zh-Hant 0 0 763 0 0 1929.34
hu 411 335 335 390.484 -9548.22 1330.76
nb 0 8 0 0 -24.7758 0
jv 0 18 0 0 -97.4211 0
pa 44 0 0 1162 0 0
langid 0 83 0 0 0 0
nl 169 109 84 634.408 -2712.32 834.69
lt 51 71 35 415.098 -790.331 1149.6
nn 0 17 0 0 -32.5564 0
lv 78 95 87 358.218 -7752.12 1272
no 7275 43 9 683.178 -298.166 696
pl 688 761 681 396.911 -6378.21 1259.23
ab 0 0 9 0 0 477
ta 8 8 8 516 -11121.2 1024
af 34 32 17 393.794 -4508.08 932.588
ca 2611 116 92 682.24 -2343.2 583.946
