lang lang_warc lang_curl
rm 1 3
pt 20 49
ro 14 27
th 5 9
tk 2 3
ru 154 378
ar 10 21
vi 11 20
tr 18 52
ga 3 5
az 0 3
cs 22 78
el 5 12
en 2571 2059
cy 7 13
id 7 10
zh 177 463
es 43 88
gl 13 40
et 0 5
kk 1 3
is 3 9
it 41 110
ko 41 166
ku 1 6
ky 3 9
mt 2 6
sd 1 0
be 1 3
bg 6 17
sk 7 16
sl 3 6
da 808 24
de 137 182
sq 2 3
bn 1 1
sr 14 34
uk 10 27
fa 7 15
un 188 633
sv 33 76
br 6 10
sw 1 0
ur 2 6
fi 5 11
he 2 2
uz 1 2
fo 1 8
ja 52 103
hi 1 3
fr 232 269
la 57 79
lb 8 37
hr 11 33
fy 1 3
hu 34 83
ne 1 3
pa 4 1
nl 16 28
lt 4 5
lv 2 3
no 511 10
pl 37 105
ta 1 0
af 4 9
ca 132 22
