lang lang_warc lang_curl
rm 1 2
pt 18 32
ro 15 23
th 4 5
tk 2 3
ru 154 357
ar 9 15
vi 12 17
tr 17 43
ga 3 3
az 0 3
cs 21 75
el 5 11
en 2306 1870
cy 9 15
id 7 11
zh 167 420
es 43 72
gl 12 37
et 0 7
eu 0 1
kk 1 3
is 3 5
it 34 89
ko 36 146
ku 1 6
ky 3 10
mt 2 6
sd 1 0
be 1 3
bg 7 18
sk 8 17
sl 3 4
da 714 14
de 118 209
sq 2 3
bn 1 2
sr 13 29
uk 11 25
fa 6 11
un 177 620
sv 30 76
br 5 7
sw 1 0
ur 2 6
fi 5 13
he 2 4
uz 1 3
fo 2 5
ja 48 60
hi 2 4
fr 227 202
la 55 76
lb 10 39
hr 11 30
fy 1 3
hu 35 74
ne 1 1
pa 4 1
nl 12 28
lt 4 4
lv 2 3
no 463 12
pl 33 95
ta 1 0
af 4 8
ca 114 26
